,Clinic Name,Distance and Status,Address,Location,Contact Info
578,C Y Kok Clinic & Surgery,10.64 km - Closing in 2 hr 29 min,157 Ang Mo Kio Ave 4 #01-562,Singapore 560157,T +65 6458 4777
579,Hui Clinic & Surgery,10.64 km - Closing in 2 hr 29 min,157 Ang Mo Kio Ave 4 #01-566,Singapore 560157,T +65 6458 8596
580,Liang Clinic,10.64 km - Closing in 2 hr 29 min,55 Siglap Road #Siglap Centre #B1-15/16,Singapore 455871,T +65 6241 5944 F +65 6445 0141
581,Chua Medico Clinic LLP,10.64 km - Closing in 1 hr 59 min,529 Ang Mo Kio Ave 10 #01-2323,Singapore 560529,T +65 6456 2275
582,Sennett Medical Clinic,10.64 km - Closing in 1 hr 28 min,55 Siglap Road #B1-15 Siglap Centre,Singapore 455871,T +65 6280 0670
583,Intemedical (Kovan),10.68 km - Closing in 9 hr 28 min,Blk 210 Hougang Street 21 #01-233,Singapore 530210,T +65 6243 3036
584,K L Tay Clinic & Surgery,10.68 km - Closing in 1 hr 58 min,632 Bedok Reservoir Road #01-822,Singapore 470632,T +65 6448 1630
585,Pan Island Clinic & Surgery,10.68 km - Closing in 1 hr 58 min,632 Bedok Reservoir Road #01-804,Singapore 470632,T +65 6445 3747
586,Phoon Clinic & Surgery,10.68 km - Closing in 1 hr 28 min,632 Bedok Reservoir Road #01-828,Singapore 470632,T +65 6445 2119
587,Atrio Family Clinic (AMK),10.71 km - Closed,532 Ang Mo Kio Ave 10 #01-2461,Singapore 560532,T +65 6455 4280
588,DR+ Medical Paincare Clinic,10.71 km - Closed,988 UPPER SERANGOON ROAD #01-07 STARS OF KOVAN,Singapore 534733,T +65 6908 6570
589,Kang Clinic,10.71 km - Closed,Blk 532 Ang Mo Kio Avenue 10 #Cheng San Centre #01-2465,Singapore 560532,T +65 6481 1044
590,Advantage Medical (Bedok),10.74 km - Closing in 6 hr 28 min,Blk 632 Bedok Reservoir Rd #01-880,Singapore 470632,T +65 6015 0207
591,Nuffield Medical Siglap,10.76 km - Closing in 3 hr 28 min,914 East Coast Road #01-03 The Domain,Singapore 459108,T +65 6636 3083
592,Chiew Clinic,10.8 km - Closing in 2 hr 28 min,2 Kovan Road #01-09 Simon Plaza,Singapore 548008,T +65 6382 8002
593,Simon Road Family Clinic,10.83 km - Closed,9 Simon Road,Singapore 545895,T +65 6287 8755
594,DR+ Medical & Paincare Hougang,10.84 km - Closing in 0 hr 28 min,1187 Upper Serangoon Road #01-54 The Midtown,Singapore 533971,T +65 6320 0118
595,Balkis Family Clinic,10.86 km - Closing in 3 hr 28 min,631 Bedok Reservoir Road #01-968,Singapore 470631,T +65 6445 4711
596,Aidan Medical Clinic,10.86 km - Closing in 2 hr 28 min,Blk 539 Bedok North Street 3 #01-623,Singapore 460539,T +65 6970 7820
597,Eastern Medical Centre,10.86 km - Closing in 1 hr 28 min,631 Bedok Reservoir Road #01-896,Singapore 470631,T +65 6448 7628
598,Healthplus Clinic and Surgery,10.86 km - Closed,631 Bedok Reservoir Road #01-898,Singapore 470631,T +65 6446 0529
599,Hisemainn Medical Clinic (Bukit Batok),10.9 km - Closing in 0 hr 58 min,289E Bukit Batok St 25 #01-160,Singapore 654289,T +65 6569 1375
600,Union Medical Clinic & Surgery,10.92 km - Closing in 1 hr 58 min,152 Serangoon North Ave 1 #01-330,Singapore 550152,T +65 6282 3357
601,Silkroutes @ Chai Chee Clinic,10.93 km - Closing in 2 hr 28 min,55 Chai Chee Drive #01-188,Singapore 460055,T +65 6974 6607
602,Low & Lee Clinic & Surgery,10.93 km - Closing in 1 hr 28 min,55 Chai Chee Dr #01-202,Singapore 460055,T +65 6445 1175
603,Onecare Clinic Serangoon North,10.93 km - Closing in 0 hr 28 min,153 Serangoon North Ave 1 #01-480,Singapore 550153,T +65 6513 9011
604,Lifelink SN Clinic & Surgery,10.95 km - Open 24 Hrs,153 Serangoon North Ave 1 #01-534,Singapore 550153,T +65 6281 3977
605,Chen Family Clinic,10.95 km - Closing in 1 hr 58 min,153 Serangoon North Ave 1 #01-490,Singapore 550153,T +65 6281 2212
606,The Healer Clinic & Surgery,10.96 km - Closing in 1 hr 43 min,154 Serangoon North Ave 1 #01-452,Singapore 550154,T +65 6285 9866
607,Onecare Clinic Bedok MRT,10.96 km - Closed,Blk 315 New Upper Changi Road #Bedok MRT Station #01-01,Singapore 467347,T +65 6970 0813 F +65 6358 2691
608,TH Chia Medical Practice,10.98 km - Closing in 1 hr 28 min,151 Serangoon North Ave 2 #01-19,Singapore 550151,T +65 6281 3268
609,Tsi & Partners Family Clinic,10.98 km - Closing in 0 hr 58 min,151 Serangoon North Ave 2 #01-01,Singapore 550151,T +65 6383 4818
610,Family Healthcare Clinic & Surgery,10.98 km - Closed,151 Serangoon North Ave 2 #01-35,Singapore 550151,T +65 6288 9557
611,Acumed Medical Group (Teban Gardens),11.05 km - Closing in 2 hr 28 min,38 Teban Gardens Road #01-318/319,Singapore 600038,T +65 6561 9366 F +65 6561 6103
612,Drs. Bain and Partners - Jurong East (International Business Park),11.09 km - Closing in 2 hr 28 min,2 International Business Park The Strategy #01-06A/07A,Singapore 609930,T +65 6316 2648
613,Joash Family Clinic & Surgery,11.11 km - Closing in 1 hr 28 min,1030 Upper Serangoon Road,Singapore 534767,T +65 6282 7371
614,Premier Clinic & Surgery,11.12 km - Closing in 1 hr 58 min,631 Ang Mo Kio Ave 4 #01-936,Singapore 560631,T +65 6456 2982
615,SATA CommHealth Medical Centre - Uttamram,11.16 km - Closing in 2 hr 28 min,351 Chai Chee Street,Singapore 468982,T +65 6244 6685
616,G S Clinic & Surgery,11.18 km - Closing in 1 hr 58 min,632 Ang Mo Kio Ave 4 #01-960,Singapore 560632,T +65 6456 8967
617,Summit Medical Clinic,11.18 km - Closing in 0 hr 58 min,632 Ang Mo Kio Ave 4 #01-956,Singapore 560632,T +65 6456 0060
618,Eterna Medical Clinic,11.19 km - Closing in 2 hr 27 min,629 Ang Mo Kio Ave 4 #01-994,Singapore 560629,T +65 6802 3050
619,Tan Medicare Clinic,11.19 km - Closing in 1 hr 57 min,629 Ang Mo Kio Ave 4 #01-986,Singapore 560629,T +65 6454 4211
620,Chai Chee Clinic & Surgery,11.19 km - Closing in 1 hr 27 min,25A Chai Chee Road #01-453,Singapore 461025,T +65 6244 1231
621,Healthline Family Clinic & Surgery,11.19 km - Closing in 0 hr 27 min,25A Chai Chee Road #01-467,Singapore 461025,T +65 6446 3260
622,Lim Clinic & Surgery,11.22 km - Closing in 2 hr 27 min,20 Chai Chee Road #01-418/420,Singapore 461020,T +65 6241 2211
623,Platinum Medical Centre @Dorm,11.23 km - Closed,28 Toh Guan Road East (Mezzanine Floor) ##01-01,Singapore 608596,T +65 6565 6338 F +65 6515 3105
624,C & K Family Clinic,11.26 km - Closed,108 Upper East Coast Road,Singapore 455297,T +65 6242 9588
625,Excelsior Clinic & Surgery,11.28 km - Closing in 1 hr 57 min,283 Bukit Batok East Ave 3 #01-261,Singapore 650283,T +65 6567 3822
626,Yio Chu Kang MRT Clinic,11.28 km - Closing in 0 hr 57 min,635 Ang Mo Kio Ave 6 #01-5125,Singapore 560635,T +65 6459 8278
627,The Family Physician Clinic,11.28 km - Closing in 0 hr 27 min,542B Serangoon North Ave 3 #01-02,Singapore 552542,T +65 6555 1828
628,Ong Clinic & Surgery,11.29 km - Closing in 2 hr 27 min,265 Bukit Batok East Ave 4 #01-387,Singapore 650265,T +65 6769 5704
629,St Andrew's Mission Hospital Clinic (Elliot Road),11.3 km - Closed,1 Elliot Road,Singapore 458686,T +65 6517 3800 F +65 6517 3801
630,EH Medical Family Clinic (Bukit Batok),11.36 km - Closed,Blk 292 Bukit Batok East Avenue 6 ##01-07,Singapore 650292,T +65 6255 1368 F +65 6253 2469
631,First Light Family Clinic & Surgery,11.36 km - Closed,272 Bukit Batok East Ave 4 #01-72,Singapore 650272,T +65 6560 3930
632,Family Medical Clinic,11.38 km - Closing in 2 hr 27 min,280 Bukit Batok East Ave 3 #01-317,Singapore 650280,T +65 6567 6775
633,Lifeline Neighbourhood Medical Clinic Pte Ltd,11.38 km - Closing in 1 hr 27 min,280 Bukit Batok East Avenue 3 ##01-333,Singapore 650280,T +65 6567 8316
634,HL Family Clinic & Surgery,11.39 km - Closing in 0 hr 27 min,89 Bedok North St 4  ##01-83,Singapore 460089,T +65 6442 0494
635,Evangel Medical Clinic,11.42 km - Closing in 2 hr 27 min,10 Chai Chee Road #01-01,Singapore 467010,T +65 6449 0555
636,RafflesMedical,11.43 km - Closing in 2 hr 57 min,5012 Ang Mo Kio Ave 5 #01-01,Singapore 569876,T +65 6556 2318
637,Bewell Clinic,11.43 km - Closing in 1 hr 57 min,5012 Ang Mo Kio Ave 5 #01-01 Technoplace II,Singapore 569876,T +65 6555 9038
638,SM Haneefa Clinic,11.45 km - Closed,11 Chai Chee Road #01-23,Singapore 460011,T +65 6243 4237
639,Liew Clinic,11.48 km - Closing in 1 hr 27 min,5000G Marine Parade Road #01-31 Laguna Park,Singapore 449290,T +65 6443 1794
640,Healthcare Medical @ Rail Mall,11.49 km - Closing in 1 hr 57 min,446 Upper Bukit Timah Road #The Rail Mall,Singapore 678067,T +65 6765 5733
641,Pow Family Clinic & Surgery,11.51 km - Closing in 1 hr 57 min,620 Hougang Ave 8 #01-264,Singapore 530620,T +65 6287 8105
642,S Lee Clinic,11.51 km - Closing in 1 hr 57 min,644 Hougang Ave 8 #01-265,Singapore 530644,T +65 6386 1632
643,CMY Medical,11.52 km - Closing in 2 hr 57 min,37 Chai Chee Avenue #01-295,Singapore 461037,T +65 8388 0902
644,Curasia Endoscopy Centre,11.53 km - Closing in 3 hr 27 min,2 Venture Dr #01-06 Vision Exchange,Singapore 608526,T +65 6679 1229
645,Teban Garden Clinic,11.54 km - Closing in 2 hr 27 min,61 Teban Gardens Road #01-01,Singapore 600061,T +65 6561 9052
646,Newlife Family Clinic & Surgery,11.54 km - Closing in 1 hr 27 min,61 Teban Gardens Road #01-20,Singapore 600061,T +65 6566 3770
647,Keystone Family Clinic,11.56 km - Closing in 6 hr 27 min,377 Hougang Street 32 #01-03,Singapore 530377,T +65 6016 0068
648,Chong Medical Clinic,11.56 km - Closing in 1 hr 57 min,703 Bedok Reservoir Road #01-3500,Singapore 470703,T +65 6241 4678 F +65 6241 4678
649,Reservoir Road Clinic & Surgery,11.56 km - Closing in 1 hr 57 min,704 Bedok Reservoir Road #01-3622,Singapore 470704,T +65 6449 0289
650,Joy Family Clinic,11.56 km - Closed,703 Bedok Reservoir Road #01-3506,Singapore 470703,T +65 6442 2483
651,The Chungkiaw Family Practice,11.63 km - Closing in 1 hr 27 min,17 Ang Mo Kio Ave 9 #02-05,Singapore 569766,T +65 6455 1009
652,Yang & Yap Clinic & Surgery,11.65 km - Closing in 4 hr 27 min,537 Bedok North St 3 #01-571,Singapore 460537,T +65 6441 2481 F +65 6448 2821
653,Kho Clinic,11.65 km - Closing in 2 hr 27 min,537 Bedok North St 3 #01-519,Singapore 460537,T +65 6242 8266
654,The Civic Clinic,11.65 km - Closed,537 Bedok North St 3 #01-515,Singapore 460537,T +65 6441 2436
655,Lai Medical Clinic,11.66 km - Closing in 1 hr 27 min,213 Bukit Batok St 21 #01-209,Singapore 650213,T +65 6563 2935
656,Minmed Clinic (Jurong East),11.69 km - Closing in 6 hr 27 min,50 Jurong Gateway Road #04-17 JEM,Singapore 608549,T +65 6333 0123
657,Faith Clinic (Bedok),11.69 km - Closing in 1 hr 57 min,746 Bedok Reservoir Road #01-3013,Singapore 470746,T +65 6702 0820
658,Faith Clinic (Yishun),11.69 km - Closing in 1 hr 27 min,Blk 598 Yishun Ring Road ##01-11 Wisteria Mall,Singapore 768698,T +65 6339 1129 F +65 6444 8019
659,Healthway Medical Clinic (Westgate),11.72 km - Closing in 2 hr 27 min,3 Gateway Drive #04-32 Westgate,Singapore 608532,T +65 6560 6127
660,Minmed Clinic Bedok,11.75 km - Closing in 2 hr 26 min,"311, New Upper Changi Road #01-47/48",Singapore 467360,T +65 6383 0123
661,Seah Clinic,11.75 km - Closing in 2 hr 26 min,311 Hougang Ave 5 #01-183,Singapore 530311,T +65 6282 7254
662,YSL Bedok Clinic & Surgery,11.75 km - Closing in 2 hr 26 min,539 Bedok North St 3 #01-631,Singapore 460539,T +65 6245 2684
663,Healthcare Hougang Medical Clinic,11.75 km - Closing in 1 hr 56 min,311 Hougang Ave 5 #01-191,Singapore 530311,T +65 6288 1426
664,Healthcare Medical Centre,11.75 km - Closing in 1 hr 56 min,311 Hougang Ave 5 #01-191,Singapore 530311,T +65 6288 1426
665,Wong Clinic,11.75 km - Closing in 1 hr 26 min,539 Bedok North St 3 #01-603,Singapore 460539,T +65 6241 2267
666,Stat Medical Clinic @ Hougang,11.75 km - Closed,311 Hougang Ave 5 #01-183,Singapore 530311,T +65 6282 7254
667,Shenton Family Medical Clinic (Bedok Reservoir),11.77 km - Closing in 2 hr 26 min,744 Bedok Reservoir Road #01-3065,Singapore 470744,T +65 6443 5936
668,A+Ffordable Clinic (Hougang),11.77 km - Closed,Blk 681 Hougang Avenue 8 ##01-829,Singapore 530681,T +65 6584 9388 F +65 6385 8716
669,Dedicare Medical Practice & Surgery @ Hougang,11.79 km - Closed,419 Hougang Ave 8 #01-K1,Singapore 530419,T +65 6980 3066
670,Hougang Family Medicine Clinic,11.83 km - Closing in 6 hr 56 min,51 Hougang Ave 4 #02-01 Ci Yuan Community Club,Singapore 538776,T +65 6315 3323
671,RafflesMedical (Bedok North),11.83 km - Closing in 2 hr 56 min,203 Bedok North St 1 #01-467,Singapore 460203,T +65 6844 9291
672,Elissa Medical Clinic,11.85 km - Closing in 2 hr 26 min,"1 Hougang Street 91, Hougang 1  #01-21",Singapore 538692,T +65 6312 2632
673,Halley Medical Clinic,11.85 km - Closing in 2 hr 26 min,1 Hougang Street 91 #01-21 Hougang 1,Singapore 538692,T +65 6312 2632
674,Kang An Clinic,11.86 km - Closing in 1 hr 56 min,644 Bukit Batok Central #01-70,Singapore 650644,T +65 6566 4856
675,Central 24-Hr Clinic (Hougang),11.89 km - Open 24 Hrs,681 Hougang Ave 8 #01-831,Singapore 530681,T +65 6387 6965
676,Lighthouse Clinic and Surgery,11.89 km - Closing in 7 hr 26 min,642 Bukit Batok Central #01-52,Singapore 650642,T +65 6425 1935
677,Medical Aesthetics,11.89 km - Closing in 3 hr 26 min,681 Hougang Ave 8 #01-831,Singapore 530681,T +65 6385 0520
678,Medica Clinic,11.89 km - Closing in 1 hr 56 min,681 Hougang Ave 8 #01-837,Singapore 530681,T +65 6386 2187
679,Onecare Clinic Hougang Ave 8,11.89 km - Closing in 0 hr 26 min,Blk 681 Hougang Avenue 8 #01-835,Singapore 530681,T +65 6970 0811
680,E Medical Clinic & Surgery,11.9 km - Closing in 8 hr 26 min,639 Bukit Batok Central #01-34,Singapore 650639,T +65 6563 2798
681,Northeast Medical Group (Bedok),11.9 km - Closing in 2 hr 26 min,531 Bedok North St 3 #01-692,Singapore 460531,T +65 6441 2402
682,Bukit Batok Medical Clinic,11.9 km - Closing in 1 hr 56 min,207 Bukit Batok St 21 #01-114,Singapore 650207,T +65 6560 3311
683,S.T. Medical Clinic,11.9 km - Closed,531 Bedok North St 3 #01-694,Singapore 460531,T +65 6444 0159
684,Starcare Clinic And Surgery,11.9 km - Closed,207  #01-108 Bukit Batok St 21,Singapore 650207,T +65 6561 6878
685,Panhealth Family Clinic (Hougang),11.91 km - Closed,932B Hougang Ave 9 #01-02 Hougang Crimson,Singapore 532932,T +65 6610 1496
686,FamilyGP Medical Clinic,11.91 km - Closed,"11, Pasir Ris Link, Seastrand Condominium #01-49",Singapore 518180,T +65 6287 8755
687,Dr Stanley Peck Family Clinic,11.93 km - Closed,Blk 636 Bukit Batok Central ##01-06,Singapore 650636,T +65 6917 7889 F +65 6526 2136
688,Neighbourhood Medical Clinic,11.97 km - Closing in 2 hr 26 min,683 Hougang Ave 8 #01-901,Singapore 530683,T +65 6386 8689
689,CityGP Family Clinic,11.98 km - Closing in 4 hr 56 min,Blk 122 Bedok North Street 2 ##01-106,Singapore 460122,T +65 6241 4702
690,Toh Guan Family Clinic,11.98 km - Closing in 1 hr 56 min,267A Toh Guan Road #01-02,Singapore 601267,T +65 6566 6966
691,Familycare Medical Centre,12 km - Closing in 1 hr 56 min,916 Hougang Avenue 9 #01-08,Singapore 530916,T +65 6385 5177
692,SATA CommHealth Medical Centre - Jurong,12.01 km - Closing in 2 hr 26 min,135 Jurong Gateway Road #04-345,Singapore 600135,T +65 6244 6688
693,Family Care Medical Centre,12.01 km - Closing in 1 hr 56 min,916 Hougang Ave 9 #01-08,Singapore 530916,T +65 6385 5177
694,King George's Medical Centre (Hougang),12.01 km - Closing in 1 hr 56 min,916 Hougang Ave 9 #01-08,Singapore 530916,T +65 6385 5177
695,Lusumu Family Clinic,12.02 km - Closed,530 Bedok North St 3 #01-638,Singapore 460530,T +65 6445 9910
696,Phoenix Medical Group (Hillview),12.03 km - Closed,4 Hillview Rise #3 Hill V 2,Singapore 667979,T +65 6710 7157
697,NCS Medical Clinic,12.04 km - Closing in 9 hr 25 min,5 Ang Mo Kio Street 62 ##01-10 NCS Hub Block A,Singapore 569141,T +65 6570 4000 F +65 6556 7000
698,Wee's Clinic & Surgery,12.04 km - Closing in 1 hr 55 min,418 Bedok North Ave 2 #01-79,Singapore 460418,T +65 6444 5316
699,Healthway Medical Clinic (Hougang Ave 8),12.06 km - Closing in 2 hr 25 min,684 Hougang Ave 8 #01-965,Singapore 530684,T +65 6388 0339
700,MedLife Clinic & Surgery,12.06 km - Closing in 0 hr 55 min,684 Hougang Ave 8 #01-985,Singapore 530684,T +65 6385 0836
701,Northeast Medical Group (Bukit Batok),12.07 km - Closing in 5 hr 25 min,10 Bukit Batok Central #01-01 Bt Batok MRT Station,Singapore 659958,T +65 6266 1442
702,Norwood Medical (Hougang),12.07 km - Closing in 4 hr 55 min,365B Upper Serangoon Road #01-1066,Singapore 532365,T +65 6592 4532
703,Meridian Medical And Dental Centre,12.08 km - Closing in 1 hr 25 min,327 Hougang Ave 5 #01-162,Singapore 530327,T +65 6282 5205
704,Trinity Medical Clinic (Jurong East),12.1 km - Closing in 2 hr 25 min,130 Jurong Gateway Road #02-205 /207,Singapore 600130,T +65 6560 7088
705,OneCare Clinic Bukit Batok,12.12 km - Closing in 1 hr 25 min,630 Bukit Batok Central #01-148,Singapore 650630,T +65 6563 6913
706,Eastern Clinic & Surgery,12.13 km - Closing in 1 hr 55 min,235 Jurong East St 21 #01-316,Singapore 600235,T +65 6561 4458
707,W H Yak Family Clinic,12.15 km - Closing in 1 hr 55 min,25 New Upper Changi Road #01-644,Singapore 462025,T +65 6443 1561
708,Bedok Medical Centre,12.16 km - Closing in 1 hr 55 min,18 Bedok South Road #01-57,Singapore 460018,T +65 6241 4111
709,Central 24-Hr Clinic (Bedok),12.17 km - Open 24 Hrs,219 Bedok Central #01-124,Singapore 460219,T +65 6247 6122
710,Unihealth 24-Hr Clinic (Jurong East),12.17 km - Open 24 Hrs,Blk 135 Jurong Gateway Road ##01-317,Singapore 600135,T +65 6970 5868 F +65 6261 5368
711,Unihealth Clinic (Bedok),12.17 km - Closing in 7 hr 25 min,Blk 214 Bedok North Street 1 ##01-171,Singapore 460214,T +65 6904 3488 F +65 6241 9388
712,RafflesMedical (Jurong East),12.17 km - Closing in 2 hr 55 min,131 Jurong Gateway Road #01-267,Singapore 600131,T +65 6899 6688
713,Acumed Medical Group (Bedok),12.17 km - Closing in 2 hr 25 min,214 Bedok North St 1 #01-165,Singapore 460214,T +65 6443 8077
714,Health Partners Family Clinic,12.17 km - Closing in 0 hr 55 min,1 Bukit Batok Central Link #01-37 West Mall,Singapore 658713,T +65 6898 9031
715,Bedok Central Clinic,12.17 km - Closed,214 Bedok North St 1 #01-161,Singapore 460214,T +65 6242 4489
716,1doc Medical Centre,12.18 km - Closing in 2 hr 25 min,11 Bedok North Street 1 #01-11/12,Singapore 469662,T +65 6282 7088
717,1doc Medical Centre Changi,12.18 km - Closed,51 Changi Business Park Central 2 #02-02,Singapore 486066,T +65 6250 7623
718,Radiant Medical & Aesthetic Centre,12.19 km - Closing in 7 hr 25 min,810 Hougang Central #01-220,Singapore 530810,T +65 6881 2389
719,RafflesMedical (Hougang Central),12.19 km - Closing in 2 hr 55 min,809 Hougang Central #01-180,Singapore 530809,T +65 6386 7896
720,Trucare Medical And Surgery (Hougang),12.19 km - Closed,1187 Upper Serangoon Road #01-53 The Midtown,Singapore 533971,T +65 6385 3525
721,My Family Clinic (Hougang Central),12.22 km - Closing in 9 hr 25 min,804 Hougang Central #01-118,Singapore 530804,T +65 6385 2117
722,Kcs Medical Centre (Bedok North),12.22 km - Closed,515 Bedok North Ave 2 #01-205,Singapore 460515,T +65 6443 8322
723,Bedok Clinic & Surgery,12.23 km - Closing in 2 hr 25 min,17 Bedok South Road #01-565,Singapore 460017,T +65 6241 0943
724,Family Healthcare Clinic & Surgery,12.23 km - Closing in 1 hr 55 min,523 Hougang Ave 6 #01-119,Singapore 530523,T +65 6387 1120
725,Acumed Medical Group (Tampines West),12.24 km - Closing in 2 hr 25 min,"Blk 801, Tampines Avenue 4, Tampines Polyview #01-269",Singapore 520801,T +65 6223 1070
726,Usrah Medical Clinic,12.29 km - Closing in 2 hr 25 min,510 Bedok North St 3 #01-25,Singapore 460510,T +65 6441 4139
727,Healthway Hougang Central Clinic,12.31 km - Closing in 2 hr 25 min,90 Hougang Ave 10 #04-06 Hougang Mall,Singapore 538766,T +65 6343 7620
728,Frontier Medical Associates (Buangkok),12.35 km - Closing in 5 hr 55 min,982 Buangkok Crescent #01-03,Singapore 530982,T +65 6315 2913
729,E J Tan Clinic & Surgery,12.36 km - Closing in 1 hr 25 min,104 Jurong East St 13 #01-100,Singapore 600104,T +65 6560 6600
730,Pancare Medical (Jurong East),12.36 km - Closed,"104 Jurong East Street 13, Jurong East Ville #01-104",Singapore 600104,T +65 6539 9987
731,Bedok Family Clinic & Surgery,12.41 km - Closing in 2 hr 25 min,218 Bedok North St 1 #01-17,Singapore 460218,T +65 6441 0236
732,My Doctor's Place,12.41 km - Closing in 1 hr 25 min,218 Bedok North St 1 #01-41,Singapore 460218,T +65 6444 9687
733,The Fahrenheit Medical Centre,12.41 km - Closed,218 Bedok North St 1 #01-27,Singapore 460218,T +65 6443 8063
734,Sia & Yeo Hougang Clinic,12.42 km - Closing in 1 hr 10 min,573 Hougang St 51 #01-21,Singapore 530573,T +65 6386 1426
735,Clinic@Costa,12.42 km - Closed,84 Bayshore Road #01-35/36 Costa Del Sol,Singapore 469994,T +65 6243 3638
736,Singapore Family Clinic & Surgery,12.43 km - Closing in 2 hr 25 min,153 Bukit Batok St 11 #01-284,Singapore 650153,T +65 6567 9881
737,Healthway Medical,12.45 km - Closing in 2 hr 25 min,218 Bedok North St 1 ##01-17,Singapore 460218,T +65 6441 0236 F +65 6441 0276
738,Citilife Family Clinic,12.49 km - Closed,215 Jurong East St 21 #01-539,Singapore 600215,T +65 6566 2281
739,Frontier Medical Associates (Bukit Batok),12.5 km - Closed,528 Bukit Batok St 51 #01-64,Singapore 650528,T +65 6566 5773
740,Q & M Medical Clinic (Bukit Batok),12.51 km - Closing in 2 hr 24 min,151 Bukit Batok St 11 #01-252,Singapore 650151,T +65 6565 3866
741,Foo And Ong Family Clinic Pte. Ltd.,12.51 km - Closed,Blk 151 Bukit Batok St 11 ##01-256,Singapore 650151,T +65 6567 2212 F +65 6425 6179
742,Healthline Family Clinic & Surgery (Bukit Batok),12.51 km - Closed,151 Bukit Batok St 11 #01-256,Singapore 650151,T +65 6567 2212
743,Koh Clinic & Surgery,12.54 km - Closed,166 Bukit Batok West Ave 8 #01-250,Singapore 650166,T +65 6561 9938
744,Medico Clinic & Surgery,12.55 km - Closed,249 Jurong East St 24 #01-88,Singapore 600249,T +65 6561 0934
745,Phoenix Medical Group ( Cactus ),12.57 km - Closed,7 Ang Mo Kio Street 66 #Floravista #01-17,Singapore 567708,T +65 6763 9185 F +65 6484 2240
746,Universal Medical Clinic (Bukit Batok),12.57 km - Closed,164 Bukit Batok St 11 #01-144,Singapore 650164,T +65 6563 9955
747,C H Tan Medical Clinic & Dental Surgery,12.59 km - Closing in 1 hr 24 min,177 Bukit Batok West Ave 8 #01-259,Singapore 650177,T +65 6561 8712
748,Idoc Clinic,12.62 km - Closing in 2 hr 24 min,21 Hougang Street 51 #Hougang Green Shopping Mall #01-43,Singapore 538719,T +65 6909 3485 F +65 9825 6091
749,Excel Family Clinic,12.62 km - Closing in 1 hr 54 min,21 Hougang St 51 #01-06 Hougang Green Shopping Mall,Singapore 538719,T +65 6386 5278
750,Mission (Hougang) Medical Clinic,12.63 km - Closed,356 Hougang Ave 7 #01-799,Singapore 530356,T +65 6281 4567
751,Phoenix Medical Group (Seletar Greenwich),12.64 km - Closing in 5 hr 54 min,1 Seletar Road #02-11 Greenwich Village,Singapore 807011,T +65 6555 3512
752,Onecare Clinic Bukit Gombak MRT,12.64 km - Closing in 0 hr 24 min,802 Bukit Batok West Ave 5 #01-16 Bukit Gombak Mrt Station,Singapore 659083,T +65 6352 2639
753,Chua Medical Clinic And Surgery Pte. Ltd.,12.64 km - Closed,Blk 642 Bukit Batok Central #01-52,Singapore 650642,T +65 9843 6958
754,Everhealth Medical Centre,12.66 km - Closing in 1 hr 54 min,540 Hougang Ave 8 #B1-1235,Singapore 530540,T +65 6385 0815
755,Shenton Family Medical Clinic (Bukit Gombak),12.69 km - Closing in 8 hr 24 min,372 Bukit Batok St 31 #01-378,Singapore 650372,T +65 6566 5671
756,Mary Medical Clinic & Surgery,12.69 km - Closing in 2 hr 24 min,252 Jurong East St 24 #01-157,Singapore 600252,T +65 6562 4721
757,Ar-Raudhah Medical Clinic,12.69 km - Closing in 1 hr 24 min,372 Bukit Batok St 31 #01-386,Singapore 650372,T +65 6567 7458
758,Minmed Clinic (Buangkok),12.7 km - Closing in 2 hr 24 min,"70 Compassvale Bow #02-13, Sengkang Grand Mall",Singapore 544692,T +65 6788 0123
759,Yeo Clinic,12.7 km - Closing in 1 hr 24 min,134 Bukit Batok West Ave 6 #01-447,Singapore 650134,T +65 6566 0601
760,Pancare Medical (Hougang) Pte. Ltd,12.72 km - Closing in 2 hr 24 min,"23 Hougang Ave 3, Hougang View #01-285",Singapore 530023,T +65 6242 0104
761,Medipoint Medical Centre,12.72 km - Closed,401 Hougang Ave 10 #01-1170,Singapore 530401,T +65 6386 5046
762,Prohealth 24-Hour Medical Clinic,12.74 km - Open 24 Hrs,259 Bukit Panjang Ring Road #01-18,Singapore 671259,T +65 6765 2115
763,Esther Yeo Clinic,12.75 km - Closing in 1 hr 54 min,256 Jurong East St 24 #01-389,Singapore 600256,T +65 6565 2822
764,Neecare Medical Centre,12.77 km - Closed,371 Bukit Batok St 31 #01-320,Singapore 650371,T +65 6567 4990
765,Healthlife Family Clinic,12.78 km - Closing in 1 hr 24 min,Blk 296A Bukit Batok Street 22 #Skyline II @ Bukit Batok #01-64,Singapore 651296,T +65 6904 8680 F +65 6904 8681
766,Healthveer Medical Clinic (Jurong East),12.8 km - Closing in 5 hr 24 min,114 Jurong East St 13 #01-406,Singapore 600114,T +65 9666 7716
767,Frontier People's Clinic,12.81 km - Closing in 1 hr 54 min,123 Bedok North St 2 #01-152,Singapore 460123,T +65 6443 0261
768,Pinnacle Family Clinic (Buangkok Square),12.81 km - Closing in 0 hr 24 min,991 Buangkok Link #02-05 Buangkok Square,Singapore 530991,T +65 6909 9203
769,Bedok Life Clinic,12.81 km - Closed,123 Bedok North St 2 #01-160,Singapore 460123,T +65 6443 1398
